Date;S;I;R;D
03/01/2020;10846104;2;0;0
3/19/2020;10846072;2;1;0
04/06/2020;10845177;103;7;7
4/24/2020;10842857;78;1;0
05/12/2020;10840915;96;108;2
5/30/2020;10839092;108;255;7
6/17/2020;10836833;122;115;5
07/05/2020;10833680;255;286;5
7/23/2020;10827853;462;168;2
08/10/2020;10819523;433;179;2
8/28/2020;10808204;869;880;10
9/15/2020;10788678;1076;982;33
10/03/2020;10767294;1265;1190;4
10/21/2020;10747938;1000;1073;21
11/08/2020;10733401;826;984;8
11/26/2020;10713184;1064;1133;14
12/14/2020;10691024;1506;1471;17
01/01/2021;10658561;1956;1643;20
1/19/2021;10610071;2563;2500;40
02/06/2021;10552324;2379;4433;44
2/24/2021;10511918;782;1857;35
3/14/2021;10484616;1204;2367;36
04/01/2021;10461519;1337;988;18
4/19/2021;10445643;973;971;14
05/07/2021;10431312;783;595;20
5/25/2021;10420321;384;506;14
06/12/2021;10398077;2455;746;19
6/30/2021;10295142;7680;3522;71
7/18/2021;10094835;9129;11852;158
08/05/2021;10018301;2312;2759;126
8/23/2021;9999242;485;640;20
09/10/2021;9991709;261;456;12
9/28/2021;9988529;104;176;3
10/16/2021;9985999;154;217;1
11/03/2021;9984201;132;100;1
11/21/2021;9982663;111;120;0
12/09/2021;9981819;36;75;2
12/27/2021;9981015;42;98;0
1/14/2022;9975782;554;164;1
02/01/2022;9917270;6391;1666;12
2/19/2022;9716468;9453;11157;24
03/09/2022;9634672;3872;3694;9
3/27/2022;9610781;594;1381;5
4/14/2022;9600881;72;791;2
05/02/2022;9598202;88;197;2
5/20/2022;9596513;82;107;0
06/07/2022;9593871;260;102;0
6/25/2022;9580882;1045;710;0
7/13/2022;9557905;2021;876;0
7/31/2022;9513822;2198;2600;2
